start_ts,user,session_duration,logon_on_own_pc_normal,logon_on_other_pc_normal,logon_on_own_pc_off_hour,logon_on_other_pc_off_hour,logon_hour,day_of_a_week,device_connects_on_own_pc,device_connects_on_other_pc,device_connects_on_own_pc_off_hour,device_connects_on_other_pc_off_hour,documents_copy_own_pc,documents_copy_other_pc,exe_files_copy_own_pc,exe_files_copy_other_pc,documents_copy_own_pc_off_hour,documents_copy_other_pc_off_hour,exe_files_copy_own_pc_off_hour,exe_files_copy_other_pc_off_hour,neutral_sites,job_search,hacking_sites,neutral_sites_off_hour,job_search_off_hour,hacking_sites_off_hour,total_emails,int_to_int_mails,int_to_out_mails,out_to_int_mails,out_to_out_mails,internal_recipients,external_recipients,distinct_bcc,mails_with_attachments,after_hour_mails,role,business_unit,functional_unit,department,team,O,C,E,A,N,class,type
1262397120,ABC0174,29940,1,0,1,0,7,5,2,0,0,0,2,0,0,0,0,0,0,0,145,0,0,17,0,0,15,4,0,0,11,11,18,3,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1262570220,ABC0174,28980,1,0,1,0,7,0,2,0,0,0,4,0,0,0,0,0,0,0,151,0,0,11,0,0,14,11,1,0,3,12,6,4,3,9,Salesman,1,5,2,1,15,41,34,13,32,0,0
1262656860,ABC0174,28680,1,0,1,0,7,1,1,0,1,0,2,0,0,0,0,0,0,0,158,0,0,4,0,0,15,12,1,0,2,21,7,4,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1262743320,ABC0174,28500,1,0,1,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,161,0,0,1,0,0,15,5,0,0,10,9,20,4,2,1,Salesman,1,5,2,1,15,41,34,13,32,0,0
1262829660,ABC0174,29520,1,0,1,0,7,3,1,0,0,0,3,0,0,0,0,0,0,0,162,0,0,0,0,0,15,5,1,0,10,12,19,4,1,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1262915100,ABC0174,29700,0,0,1,0,7,4,2,0,1,0,1,0,0,0,0,0,0,0,150,0,0,12,0,0,15,4,0,0,11,7,23,4,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263002340,ABC0174,29640,1,0,1,0,7,5,1,0,1,0,4,0,0,0,0,0,0,0,143,0,0,19,0,0,14,8,0,0,6,13,19,4,1,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263175380,ABC0174,28560,1,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,155,0,0,7,0,0,15,13,0,0,2,24,6,4,1,1,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263261120,ABC0174,30000,1,0,1,0,7,1,1,0,0,0,3,0,1,0,0,0,0,0,159,0,0,3,0,0,15,13,0,0,2,21,12,4,2,1,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263348060,ABC0174,28680,1,0,1,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,159,0,0,3,0,0,15,7,0,0,8,10,13,4,0,3,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263434580,ABC0174,29220,1,0,1,0,7,3,1,0,0,0,3,0,0,0,0,0,0,0,159,0,0,3,0,0,15,6,0,0,9,11,19,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263520800,ABC0174,29340,1,0,1,0,7,4,2,0,0,0,5,0,0,0,0,0,0,0,153,0,0,9,0,0,15,15,0,0,0,18,1,2,3,8,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263693120,ABC0174,29820,1,0,1,0,7,6,4,0,0,0,2,0,0,0,0,0,0,0,157,0,0,5,0,0,15,2,0,0,13,4,19,3,1,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263780120,ABC0174,28500,1,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,155,0,0,7,0,0,15,14,1,0,1,15,5,4,3,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263865680,ABC0174,30420,0,0,1,0,7,1,0,0,1,0,4,0,0,0,1,0,0,0,151,0,0,11,0,0,7,6,0,0,1,11,3,3,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1263951900,ABC0174,29880,1,0,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,146,0,0,16,0,0,15,14,0,0,1,21,6,2,4,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264039260,ABC0174,29280,1,0,1,0,7,3,2,0,0,0,5,0,0,0,0,0,0,0,153,0,0,9,0,0,14,4,1,0,9,8,14,4,1,2,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264125360,ABC0174,29040,0,0,1,0,7,4,2,0,1,0,4,0,0,0,0,0,0,0,151,0,0,11,0,0,15,6,0,0,9,9,14,4,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264211220,ABC0174,29400,0,0,1,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,142,0,0,20,0,0,5,4,0,0,1,8,1,4,0,1,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264384860,ABC0174,28740,1,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,153,0,0,9,0,0,15,14,0,0,1,18,8,2,4,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264470360,ABC0174,29580,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,14,0,0,15,4,0,0,11,10,20,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264557660,ABC0174,28620,1,0,1,0,7,2,3,0,0,0,5,0,0,0,0,0,0,0,120,0,0,42,0,0,15,12,1,0,3,14,12,4,3,4,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264644060,ABC0174,28560,1,0,1,0,7,3,1,0,0,0,3,0,0,0,0,0,0,0,162,0,0,0,0,0,12,2,0,0,10,10,15,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264730520,ABC0174,28560,1,0,1,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,143,0,0,19,0,0,15,11,2,0,3,16,10,4,0,4,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264816800,ABC0174,28800,1,0,1,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,158,0,0,4,0,0,15,9,0,0,6,16,13,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1264989720,ABC0174,29520,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,160,0,0,2,0,0,15,14,0,0,1,20,5,3,0,2,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265076060,ABC0174,28620,1,0,1,0,7,1,2,0,0,0,3,0,0,0,0,0,0,0,129,0,0,33,0,0,15,12,0,0,3,17,8,4,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265162460,ABC0174,28560,1,0,1,0,7,2,3,0,0,0,1,0,0,0,0,0,0,0,144,0,0,18,0,0,15,6,0,0,9,12,23,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265248800,ABC0174,29100,1,0,1,0,7,3,1,0,1,0,3,0,0,0,1,0,0,0,160,0,0,2,0,0,15,7,0,0,8,13,18,3,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265335380,ABC0174,28440,1,0,1,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,158,0,0,4,0,0,15,13,0,0,2,16,8,4,2,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265421240,ABC0174,29820,1,0,1,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0,151,0,0,11,0,0,15,13,0,0,2,18,10,4,0,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265508120,ABC0174,28680,1,0,1,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,145,0,0,17,0,0,15,6,0,0,9,15,17,4,3,9,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265593920,ABC0174,30120,1,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,150,0,0,12,0,0,14,5,0,0,9,10,15,4,1,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265680860,ABC0174,29460,1,0,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,15,3,0,0,12,9,21,4,3,0,Salesman,1,5,2,1,15,41,34,13,32,0,0
1265766300,ABC0174,29700,1,0,1,0,7,2,1,0,0,0,3,0,0,0,0,0,0,0,147,0,0,15,0,0,15,14,0,0,1,18,5,2,0,2,Salesman,1,5,2,1,15,41,34,13,32,0,0
